section,option,rank,nutrient
취식 목적,혈당관리,1,식이섬유
취식 목적,혈당관리,2,마그네슘
취식 목적,혈당관리,3,단백질
취식 목적,심혈관 건강,1,오메가3
취식 목적,심혈관 건강,2,식이섬유
취식 목적,심혈관 건강,3,칼륨
취식 목적,체중 관리,1,단백질
취식 목적,체중 관리,2,식이섬유
취식 목적,체중 관리,3,마그네슘
취식 목적,근육 및 에너지 보강,1,단백질
취식 목적,근육 및 에너지 보강,2,철
취식 목적,근육 및 에너지 보강,3,마그네슘
취식 목적,장 건강,1,식이섬유
취식 목적,장 건강,2,마그네슘
취식 목적,장 건강,3,아연
취식 목적,맛중심,1,
현재 건강 이슈,당뇨,1,식이섬유
현재 건강 이슈,당뇨,2,마그네슘
현재 건강 이슈,당뇨,3,오메가3
현재 건강 이슈,고혈압/고지혈증,1,칼륨
현재 건강 이슈,고혈압/고지혈증,2,식이섬유
현재 건강 이슈,고혈압/고지혈증,3,오메가3
현재 건강 이슈,빈혈,1,철
현재 건강 이슈,빈혈,2,단백질
현재 건강 이슈,빈혈,3,아연
현재 건강 이슈,소화민감,1,식이섬유
현재 건강 이슈,소화민감,2,마그네슘
현재 건강 이슈,소화민감,3,아연
현재 건강 이슈,임신/수유,1,철
현재 건강 이슈,임신/수유,2,단백질
현재 건강 이슈,임신/수유,3,오메가3
나이,미성년포함,1,단백질
나이,미성년포함,2,철
나이,미성년포함,3,아연
나이,20-40대,1,단백질
나이,20-40대,2,마그네슘
나이,20-40대,3,식이섬유
나이,50대 이상,1,오메가3
나이,50대 이상,2,식이섬유
나이,50대 이상,3,칼륨
나이,다연령가족,1,식이섬유
나이,다연령가족,2,단백질
나이,다연령가족,3,마그네슘
성별,남,1,단백질
성별,남,2,마그네슘
성별,남,3,아연
성별,여,1,철
성별,여,2,단백질
성별,여,3,오메가3
성별,혼성가족,1,식이섬유
성별,혼성가족,2,단백질
성별,혼성가족,3,오메가3
